Lịch sử,1,,"893100492425
(Hiệu lực)",03/12/2030,Viên sủi Pafenol 500mg,,,,Paracetamol,500mg,719/QĐ-QLD,"03/12/2025
(03/12/2030)",219,viên nén sủi bọt,Hộp 04 vỉ x 4 viên,NSX,24 tháng,Công ty trách nhiệm hữu hạn Kingphar Group,Việt Nam,"Thôn Bình Phú, xã Yên Phú, huyện Yên Mỹ, tỉnh Hưng Yên",Công ty trách nhiệm hữu hạn Kingphar Group,Việt Nam,"Thôn Bình Phú, xã Yên Phú, huyện Yên Mỹ, tỉnh Hưng yên",Xem chi tiết
Lịch sử,2,,"893100491625
(Hiệu lực)",03/12/2030,Wedoll - S 100,,,,"Gói 1,2g chứa: Paracetamol 100mg",,719/QĐ-QLD,"03/12/2025
(03/12/2030)",219,Thuốc cốm pha dung dịch uống,"Hộp 20 gói, 30 gói, 50 gói x 1,2g",NSX,36 tháng,Công ty TNHH Thương mại Dược phẩm Minh Tín,Việt Nam,"925 Lũy Bán Bích, Phường Tân Thành, Quận Tân Phú, TP. Hồ Chí Minh",Công ty cổ phần Dược Đồng Nai (DONAIPHARM),Việt Nam,221B – Phạm Văn Thuận - P. Tân Tiến - TP.Biên Hoà – Tỉnh Đồng Nai,Xem chi tiết
Lịch sử,3,,"893100488925
(Hiệu lực)",03/12/2030,Lafancol extra,,,,Caffeine 65mg; Paracetamol 500mg,,719/QĐ-QLD,"03/12/2025
(03/12/2030)",219,Viên nén bao phim,"Hộp 3 vỉ x 10 viên, Hộp 6 vỉ x 10 viên, Hộp 10 vỉ x 10 viên, Hộp 10 vỉ x 12 viên, Hộp 15 vỉ x 12 viên",DĐVN V,24 tháng,Công ty TNHH MTV Dược phẩm LA TERRE FRANCE,Việt Nam,"Lô B3-1, góc đường D4-N1, khu công nghiệp Hựu Thạnh, Xã Hựu Thạnh, Huyện Đức Hòa, Tỉnh Long An",Công ty TNHH MTV Dược phẩm LA TERRE FRANCE,Việt Nam,"Lô B3-1, góc đường D4-N1, khu công nghiệp Hựu Thạnh, Xã Hựu Thạnh, Huyện Đức Hòa, Tỉnh Long An",Xem chi tiết
Lịch sử,4,,"893100484725
(Hiệu lực)",03/12/2030,BV Ibugesic Fort,,,,Ibuprofen 200mg; Paracetamol 500mg,,719/QĐ-QLD,"03/12/2025
(03/12/2030)",219,Viên nén,"Hộp 5 vỉ x 10 viên, Hộp 10 vỉ x 10 viên; chai 100 viên, chai 200 viên",NSX,36 tháng,Công ty TNHH dược phẩm BV Pharma,Việt Nam,"Số 18 đường Lê Thị Sọc, Ấp 2A, Xã Tân Thạnh Tây, Huyện Củ Chi, Thành phố Hồ Chí Minh.",Công ty TNHH dược phẩm BV Pharma,Việt Nam,"Số 18 đường Lê Thị Sọc, Ấp 2A, Xã Tân Thạnh Tây, Huyện Củ Chi, Thành phố Hồ Chí Minh",Xem chi tiết
Lịch sử,5,,"893110483625
(Hiệu lực)",03/12/2030,Pamephrin tab,,,,Paracetamol 325mg; Guaifenesin 200mg; Dextromethorphan hydrobromid 10mg; Phenylephrin hydroclorid 5mg,,719/QĐ-QLD,"03/12/2025
(03/12/2030)",219,Viên nén bao phim,"Hộp 03 vỉ x 10 viên, Hộp 10 vỉ x 10 viên, (Alu/Alu, Alu/PVC); Hộp 01 chai x 100 viên, Hộp 01 chai x 200 viên",NSX,36 tháng,Công ty Liên doanh Meyer-BPC,Việt Nam,"Số 6A3 quốc lộ 60, phường Phú Tân, thành phố Bến Tre, tỉnh Bến Tre",Công ty Liên doanh Meyer-BPC,Việt Nam,"Số 6A3 quốc lộ 60, phường Phú Tân, thành phố Bến Tre, tỉnh Bến Tre",Xem chi tiết
Lịch sử,6,,"893101482625
(Hiệu lực)",03/12/2030,Zanidion,,,,"Codein phosphat hemihydrat (tương đương 9,43mg Codein) 12,8mg; Paracetamol 500mg",,719/QĐ-QLD,"03/12/2025
(03/12/2030)",219,Viên nén,Hộp 3 vỉ x 10 viên; Hộp 5 vỉ x 10 viên,NSX,24 tháng,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,Việt Nam,"Số 346 đường Nguyễn Huệ, Phường Mỹ Phú, Thành phố Cao Lãnh, Tỉnh Đồng Tháp",Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,Việt Nam,"Số 346 đường Nguyễn Huệ, Phường Mỹ Phú, Thành phố Cao Lãnh, Tỉnh Đồng Tháp",Xem chi tiết
Lịch sử,7,,"893100480325
(Hiệu lực)",03/12/2030,"Paracetamol 500 mg, Ibuprofen 200 mg",,,,Ibuprofen 200mg; Paracetamol 500mg,,719/QĐ-QLD,"03/12/2025
(03/12/2030)",219,Viên nén bao phim,Hộp 10 vỉ x 10 viên,NSX,36 tháng,Công ty Cổ phần Nghiên cứu và sản xuất Dược phẩm Meracine,Việt Nam,"Đường YP6, KCN Yên Phong, xã Đông Phong, huyện Yên Phong, tỉnh Bắc Ninh",Công ty Cổ phần Nghiên cứu và sản xuất Dược phẩm Meracine,Việt Nam,"Đường YP6, KCN Yên Phong, xã Đông Phong, huyện Yên Phong, tỉnh Bắc Ninh",Xem chi tiết
Lịch sử,8,,"893100479825
(Hiệu lực)",03/12/2030,Paramitic,,,,Paracetamol,"650mg/6,5ml",719/QĐ-QLD,"03/12/2025
(03/12/2030)",219,Dung dịch uống,"Hộp 30 ống x 6,5ml, Hộp 30 gói x 6,5ml",NSX,30 tháng,Công ty Cổ phần Medcen,Việt Nam,"Lô F10, đường số 6, khu công nghiệp Hòa Bình, xã Nhị Thành, huyện Thủ Thừa, tỉnh Long An",Công ty Cổ phần Medcen,Việt Nam,"Lô F10, đường số 6, khu công nghiệp Hòa Bình, xã Nhị Thành, huyện Thủ Thừa, tỉnh Long An",Xem chi tiết
Lịch sử,9,,"893100475525
(Hiệu lực)",03/12/2030,Effer phazandol 650,,,,Paracetamol,650mg,719/QĐ-QLD,"03/12/2025
(03/12/2030)",219,Viên nén sủi bọt,Hộp 4 vỉ × 4 viên. Hộp 5 vỉ × 4 viên; Hộp 1 tuýp 10 viên; Hộp 1 tuýp 20 viên,NSX,36 tháng,Công ty cổ phần Dược Phúc Vinh,Việt Nam,"Lô CN 4-6.2 KCN Thạch Thất - Quốc Oai, Xã Phùng Xá, Huyện Thạch Thất, Thành phố Hà Nội",Công ty cổ phần Dược Phúc Vinh,Việt Nam,"Lô CN 4-6.2 KCN Thạch Thất - Quốc Oai, Xã Phùng Xá, Huyện Thạch Thất, Thành phố Hà Nội",Xem chi tiết
Lịch sử,10,,"893100475425
(Hiệu lực)",03/12/2030,Effer phazandol 500,,,,Paracetamol,500mg,719/QĐ-QLD,"03/12/2025
(03/12/2030)",219,Viên nén sủi bọt,Hộp 4 vỉ × 4 viên. Hộp 5 vỉ × 4 viên; Hộp 1 tuýp 10 viên; Hộp 1 tuýp 20 viên,NSX,36 tháng,Công ty cổ phần Dược Phúc Vinh,Việt Nam,"Lô CN 4-6.2 KCN Thạch Thất - Quốc Oai, Xã Phùng Xá, Huyện Thạch Thất, Thành phố Hà Nội",Công ty cổ phần Dược Phúc Vinh,Việt Nam,"Lô CN 4-6.2 KCN Thạch Thất - Quốc Oai, Xã Phùng Xá, Huyện Thạch Thất, Thành phố Hà Nội",Xem chi tiết
Lịch sử,11,,"893110472025
(Hiệu lực)",03/12/2030,Ravonol Day,,,,Dextromethorphan hydrobromid 15mg; Paracetamol 500mg; Phenylephrin Hydrochlorid 5mg,,719/QĐ-QLD,"03/12/2025
(03/12/2030)",219,Viên nén bao phim,Hộp 25 vỉ x 4 viên; Hộp 10 vỉ x 10 viên,NSX,36 tháng,Công ty cổ phần dược phẩm Trường Thọ,Việt Nam,"Số 93 Linh Lang, phường Cống Vị, quận Ba Đình, thành phố Hà Nội",Công ty cổ phần dược phẩm Trường Thọ,Việt Nam,"Chi nhánh Công ty Cổ phần Dược phẩm Trường Thọ - Lô M1, Đường N3, Khu Công nghiệp Hòa Xá, Phường Lộc Hòa, Thành phố Nam Định, Tỉnh Nam Định",Xem chi tiết
Lịch sử,12,,"893100471325
(Hiệu lực)",03/12/2030,TBPhecol 250,,,,Paracetamol,250mg,719/QĐ-QLD,"03/12/2025
(03/12/2030)",219,Thuốc cốm sủi bọt,Hộp 12 gói,NSX,24 tháng,Cơ sở đăng ký (Cơ sở chuyển giao công nghệ): Công ty cổ phần dược phẩm trung ương I - Pharbaco,Việt Nam,"Số 160 phố Tôn Đức Thắng, phường Ô Chợ Dừa, thành phố Hà Nội",Cơ sở sản xuất (Cơ sở nhận chuyển giao công nghệ): Công ty cổ phần Dược phẩm Pharbaco Thái Bình,Việt Nam,"Lô CN01 – Cụm công nghiệp An Ninh, Xã An Ninh, Huyện Tiền Hải, Tỉnh Thái Bình",Xem chi tiết
Lịch sử,13,,"893100467325
(Hiệu lực)",03/12/2030,Effe para TP,,,,Paracetamol,500mg,719/QĐ-QLD,"03/12/2025
(03/12/2030)",219,Viên nén sủi bọt,Hộp 2 vỉ x 4 viên; Hộp 3 vỉ x 4 viên; Hộp 4 vỉ x 4 viên; Hộp 5 vỉ x 4 viên; Hộp 10 vỉ x 10 viên,NSX,36 tháng,Công ty cổ phần dược phẩm Thành Phát,Việt Nam,"Lô CN 1-6, Khu công nghiệp Phú Nghĩa, Xã Phú Nghĩa, Huyện Chương Mỹ, Thành phố Hà Nội.",Công ty cổ phần dược phẩm Thành Phát,Việt Nam,"Lô CN 1-6, Khu công nghiệp Phú Nghĩa, Xã Phú Nghĩa, Huyện Chương Mỹ, Thành phố Hà Nội.",Xem chi tiết
